crash_dd,rally_gain,alloc_normal,alloc_crash,alloc_rally,equity,ratio_bh,trades,fees,sharpe
-50,20,80,100,70,46.142393571735404,0.07511822932139638,1821,52.76315275744075,0.9895837585325946
-50,30,80,100,70,35.048295184303925,0.05705741881130413,1821,28.43462964856399,0.9603258313290643
-40,20,80,100,70,30.455123637942723,0.049579893550381754,1602,36.899640527561495,0.9496763298448545
-50,40,80,100,70,25.953911118002612,0.042252074420853124,1820,20.16842058362244,0.9290547816131929
-50,20,85,100,80,22.836270093046902,0.037176662086849915,1819,18.909507280092704,0.9219048312593907
-50,50,80,100,70,21.463502178340413,0.034941843148346835,1819,16.34519748039643,0.9091988189328667
-40,30,80,100,70,21.41996637215579,0.03487096835361855,1602,19.44378068113487,0.9130695622473405
-50,30,85,100,80,19.845545391773438,0.03230786516156342,1820,12.492666346973426,0.9077005313517403
-40,40,80,100,70,18.659202669057553,0.030376540022129608,1601,16.381599319103817,0.899221992391124
-50,20,90,100,85,17.727653671429493,0.02886001030159934,1814,11.91811237874963,0.9038801031513087
-40,20,85,100,80,17.452477102995196,0.028412032314948377,1601,15.576913825883025,0.898645141063714
-50,40,85,100,80,17.026164021300055,0.027718009284181652,1819,10.37973068399536,0.8924361382487683
-40,50,80,100,70,16.52697585426806,0.02690534812157117,1601,14.27961505863099,0.8868984831419766
-20,20,80,100,70,16.388946098772667,0.02668064042819242,1232,19.963341377848746,0.9035743277928039
-30,20,80,100,70,16.066045382747557,0.026154969171093282,1377,18.088709561361345,0.8976164363234971
-50,50,85,100,80,15.461080388526165,0.025170106972805056,1819,9.283822707433957,0.8827209471079267
-50,30,90,100,85,15.376154098423067,0.025031849894193346,1813,7.090215756869503,0.8899709321605581
-40,30,85,100,80,14.603810198880318,0.023774500596293633,1600,10.317459857545167,0.8806919234291548
-40,20,90,100,85,14.242588904948542,0.02318644475668587,1595,10.188081781940726,0.885487554110163
-40,40,85,100,80,13.609347636505017,0.022155549756738353,1599,9.388217950398593,0.8738634559971308
-50,20,95,100,90,13.50584011422469,0.021987043071382825,1796,6.760621888179416,0.8860339339388977
-50,40,90,100,85,13.165833536355168,0.021433524059685283,1808,5.788848035025848,0.87504303591302
-40,50,85,100,80,12.795571868293326,0.020830750802005187,1599,8.724814099329349,0.8677881529090209
-50,50,90,100,85,11.94418977900979,0.01944473005031827,1806,5.130591884653773,0.865545163541502
-40,30,90,100,85,11.89968446476238,0.019372276929817266,1595,6.103308311223463,0.867819865981085
-20,30,80,100,70,11.799861694554716,0.019209768894071378,1230,11.333475091415131,0.8706431159686816
-50,30,95,100,90,11.691449447087816,0.01903327748484689,1797,3.2100995208336833,0.8724233988668552
-40,20,95,100,90,11.440745712952646,0.018625140430508384,1581,5.938188662035844,0.8722179898248725
-30,30,80,100,70,11.392368476023217,0.018546383953084847,1376,9.502619235492682,0.862896335743015
-20,20,85,100,80,11.382977908005847,0.01853109643141152,1230,10.376023877991166,0.8704319589965739
-30,20,85,100,80,11.082314216964043,0.018041626285976105,1374,9.127695711829457,0.8644452138714479
-40,40,90,100,85,11.078634933691896,0.018035636539385568,1592,5.4850266972139305,0.8611000017567756
-40,50,90,100,85,10.409332778937449,0.016946035657108265,1591,5.063353343501054,0.8551230815763693
-20,40,80,100,70,10.404429897039385,0.016938053934049582,1230,9.720852230091467,0.8580537621655084
-20,20,90,100,85,10.221649924110963,0.016640494426208918,1222,7.3204313055390084,0.8635739058416408
-30,20,90,100,85,10.170439628882878,0.016557125827339435,1368,6.695588244644385,0.8606348459695099
-30,40,80,100,70,10.092171072695795,0.01642970731050035,1374,8.096365660224615,0.8507034559576433
-50,40,95,100,90,9.988550810270645,0.016261017088067597,1794,2.507772473250663,0.8578118806895995
-20,50,80,100,70,9.644724320745327,0.015701279391608907,1230,8.924064683692794,0.8505567732665993
-20,30,85,100,80,9.641458641777115,0.015695962978596156,1230,7.2938502005300645,0.8540975694586126
-40,30,95,100,90,9.544040799320642,0.015537370082493698,1581,2.840393439124736,0.8548419200021745
-30,30,85,100,80,9.312528884042859,0.015160476649008596,1374,6.032857191125987,0.8472726614517306
-30,50,80,100,70,9.280403689860252,0.015108177938066092,1374,7.3217028818100225,0.8423732292055619
-30,20,95,100,90,9.249631135081389,0.015058081277538713,1357,4.406934228084855,0.8564175920004738
-20,20,95,100,90,9.111397830550416,0.014833042213332632,1211,4.527247471742305,0.8564089785867451
-50,50,95,100,90,9.052229947630645,0.014736718935461945,1792,2.16920459492451,0.8485229466085512
-20,40,85,100,80,9.047862352967991,0.014729608641607292,1230,6.710316357068786,0.8478470241424205
-40,40,95,100,90,8.875406382021504,0.014448856253821807,1578,2.470725887683584,0.848218068784797
-30,40,85,100,80,8.758873042825444,0.01425914398664805,1373,5.5188619367239315,0.8412317478352493
-20,50,85,100,80,8.707185347742218,0.014174998197238145,1230,6.411328880095806,0.8441190865736891
-20,30,90,100,85,8.647358894172744,0.014077602789006213,1221,4.728540081371506,0.8473672436890556
-30,30,90,100,85,8.533919814105035,0.013892927869243184,1368,4.001482333132122,0.8436285069556322
-30,50,85,100,80,8.394117741012465,0.013665334903788372,1373,5.225451410900401,0.8370963790634136
-40,50,95,100,90,8.333351050252631,0.013566408821757038,1576,2.240061142367266,0.8423372018484936
-20,40,90,100,85,8.111754329940078,0.013205656984567903,1219,4.302666844350535,0.841172325447286
-30,40,90,100,85,8.022848685545153,0.013060921654068806,1367,3.6090521549722805,0.8376516056397121
-20,50,90,100,85,7.803910179796622,0.01270449729874069,1215,4.091334122233312,0.8374758196942278
-30,30,95,100,90,7.750063221114479,0.0126168363024758,1353,2.1031527717495306,0.8395855583212446
-20,30,95,100,90,7.698724705143106,0.01253325896464736,1207,2.394350212635485,0.8403357903433214
-30,50,90,100,85,7.685710506898038,0.012512072297625259,1364,3.393349479034436,0.8335588384713127
-30,40,95,100,90,7.282494299507955,0.011855650183637104,1353,1.8260974374416217,0.8336742698559997
-20,40,95,100,90,7.218611587062716,0.011751651325500847,1207,2.1134745323648727,0.834193002364241
-30,50,95,100,90,6.973308131136915,0.01135230573830416,1352,1.6841256817700014,0.8296203088615194
-20,50,95,100,90,6.942344357661709,0.011301897780317536,1205,1.982917566089685,0.8305273089806728
