threshold,min_alloc,ratio,equity,trades,avg_alloc
0.6000000000000001,95,1.003988627319395,6.167136632721765,26,98.86678200692042
0.6000000000000001,96,1.0033382955655885,6.163141881513248,26,99.09342560553634
0.6000000000000001,97,1.0025138250675225,6.1580774593944465,26,99.32006920415225
0.6000000000000001,98,1.0015156130134097,6.151945806147955,26,99.54671280276817
0.6000000000000001,99,1.0003441460714797,6.1447499111995345,26,99.77335640138408
0.55,100,0.999000000000002,6.136493311222629,1,100.0
0.6500000000000001,100,0.999000000000002,6.136493311222629,1,100.0
0.7000000000000002,100,0.999000000000002,6.136493311222629,1,100.0
0.5,100,0.999000000000002,6.136493311222629,1,100.0
0.6000000000000001,100,0.999000000000002,6.136493311222629,1,100.0
0.7500000000000002,100,0.999000000000002,6.136493311222629,1,100.0
0.9000000000000004,100,0.999000000000002,6.136493311222629,1,100.0
0.8500000000000003,100,0.999000000000002,6.136493311222629,1,100.0
0.8000000000000003,100,0.999000000000002,6.136493311222629,1,100.0
0.60-0.90,98,0.9985996844519625,6.13403431854703,37,99.75363321799308
0.60-0.90,96,0.9979903395948454,6.13029133492348,37,99.50726643598617
0.60-0.85,98,0.9974689269177263,6.127088486669698,45,99.73667820069204
0.9000000000000004,99,0.9972696066835859,6.125864135034469,12,99.980276816609
0.60-0.90,94,0.997172345817964,6.125266696945047,37,99.26089965397925
0.8500000000000003,99,0.9961527625223952,6.119003767942552,20,99.96332179930796
0.55,99,0.9960723284847885,6.1185096909317735,34,99.74636678200693
0.7000000000000002,99,0.9957315704100507,6.116416538132601,30,99.86159169550173
0.60-0.85,96,0.9956942696908021,6.116187413393689,45,99.47335640138407
0.9000000000000004,98,0.9955304168824506,6.115180925243064,12,99.960553633218
0.55-0.90,98,0.9943353163233937,6.107839857588519,45,99.72664359861592
0.70-0.90,98,0.9939951524835378,6.105750354957892,41,99.84186851211072
0.9000000000000004,97,0.9937824818932695,6.1044439969452045,12,99.94083044982699
0.60-0.85,94,0.9936773628929156,6.1037982891949,45,99.21003460207612
0.8500000000000003,98,0.9932894755842443,6.101415638669205,20,99.92664359861591
0.55-0.85,98,0.9932093875172905,6.100923686830195,53,99.70968858131488
0.60-0.80,98,0.9931422759345104,6.100511444809339,67,99.71314878892734
0.55,98,0.9929623272129584,6.099406085323686,34,99.49273356401385
0.70-0.85,98,0.9928696088596289,6.098836550233562,49,99.82491349480969
0.7000000000000002,98,0.9923734658517485,6.095788924358419,30,99.72318339100346
0.9000000000000004,96,0.9920258532174318,6.093653666495174,12,99.921107266436
0.8000000000000003,99,0.9918455923141608,6.092546389390873,42,99.93979238754326
0.7500000000000002,99,0.9906738090608578,6.085348551456843,40,99.90276816608997
0.8500000000000003,97,0.9904103232966208,6.083730054329873,20,99.88996539792386
0.9000000000000004,95,0.9902605825587284,6.082810251490539,12,99.90138408304499
0.55,97,0.9896717823262073,6.079193466016553,34,99.23910034602076
0.55-0.90,96,0.9894671608348473,6.077936550688162,45,99.45328719723184
0.7000000000000002,97,0.9889266833804287,6.074616594448015,30,99.58477508650519
0.55-0.80,98,0.9889012128392833,6.074460138186382,75,99.68615916955018
0.70-0.90,96,0.9888803722294458,6.074332121907233,41,99.68373702422144
0.70-0.80,98,0.9885629080156728,6.072382054815771,71,99.80138408304498
0.8500000000000003,96,0.9875154902938239,6.065948149065839,20,99.85328719723185
0.55-0.85,96,0.9871907001529209,6.063953081471042,53,99.41937716262976
0.60-0.80,96,0.9870338636215968,6.062989691755901,67,99.42629757785467
0.70-0.85,96,0.9866052615682642,6.0603569453760695,49,99.64982698961938
0.55,96,0.9862025768718709,6.057883399884629,34,98.9854671280277
0.7000000000000002,96,0.9853922427935417,6.052905812645867,30,99.44636678200692
0.8000000000000003,98,0.9847046662424305,6.04868228020658,42,99.8795847750865
0.8500000000000003,95,0.9846051617154049,6.048071060121967,20,99.81660899653978
0.55-0.90,94,0.9843987265767674,6.046803004218614,45,99.17993079584775
0.5,99,0.9837625430459964,6.042895160393502,80,99.66228373702423
0.6500000000000001,99,0.9836840709323617,6.042413134767439,60,99.81211072664358
0.70-0.90,94,0.9836575975817803,6.042250518612516,41,99.52560553633218
0.55,95,0.9825566890275027,6.035488038152463,34,98.73183391003462
0.7500000000000002,98,0.9823500278480118,6.034218593762438,40,99.80553633217994
0.50-0.90,98,0.9820469974452101,6.0323571883171025,91,99.64256055363322
0.65-0.90,98,0.9819686621760697,6.03187600327695,71,99.79238754325259
0.7000000000000002,95,0.9817711861393514,6.0306629798751,30,99.30795847750865
0.55-0.85,94,0.9809485138274354,6.025609603359183,53,99.12906574394464
0.50-0.85,98,0.980934983233086,6.025526489843946,99,99.62560553633219
0.65-0.85,98,0.9808567366663505,6.025045849670374,79,99.77543252595157
0.60-0.80,94,0.9806798616166487,6.023959370631918,67,99.13944636678201
0.70-0.85,94,0.9802099824106842,6.021073073730533,49,99.47474048442906
0.55-0.80,96,0.9786042569129433,6.011209686566822,75,99.37231833910035
0.70-0.80,96,0.9780239103892019,6.007644829148274,71,99.60276816608996
0.8000000000000003,97,0.977577671498023,6.004903746094293,42,99.81937716262975
0.50-0.80,98,0.9766800503773897,5.999389986331752,121,99.60207612456747
0.65-0.80,98,0.9766021432152976,5.998911430997343,101,99.75190311418685
0.7500000000000002,97,0.9740297682895349,5.983110268308755,40,99.70830449826991
0.8000000000000003,96,0.9704650527733965,5.961213518637889,42,99.75916955017301
0.5,98,0.9685258563483847,5.949301740968989,80,99.32456747404846
0.6500000000000001,98,0.9684651888957324,5.948929082893503,60,99.6242214532872
0.55-0.80,94,0.9681175084764583,5.946793408651943,75,99.05847750865053
0.70-0.80,94,0.967388637200301,5.94231621775016,71,99.40415224913494
0.7500000000000002,96,0.9657141318381938,5.932030340919152,40,99.61107266435987
0.50-0.90,96,0.9651167048461874,5.928360564402244,91,99.28512110726643
0.65-0.90,96,0.9650562509392359,5.927989218060256,71,99.58477508650519
0.8000000000000003,95,0.9633672497133562,5.917614298415354,42,99.69896193771626
0.50-0.85,96,0.9628962671004891,5.9147212236870645,99,99.25121107266438
0.65-0.85,96,0.962835952279451,5.9143507316992086,79,99.55086505190312
0.7500000000000002,95,0.9574042092727528,5.880985511850477,40,99.51384083044982
0.50-0.80,96,0.9545211333576731,5.863275826096088,121,99.20415224913496
0.65-0.80,96,0.9544613431462998,5.862908556594418,101,99.50380622837369
0.6500000000000001,97,0.953346138251599,5.856058258919769,60,99.4363321799308
0.5,97,0.953297158165832,5.855757392084241,80,98.98685121107266
0.65-0.90,94,0.9482666286350888,5.824856680555399,71,99.37716262975779
0.50-0.90,94,0.9482179095194004,5.8245574167640575,91,98.92768166089965
0.65-0.85,94,0.9449430550428556,5.804441177934683,79,99.32629757785469
0.50-0.85,94,0.9448945066824805,5.804142963031067,99,98.87681660899655
0.6500000000000001,96,0.9383296175787952,5.763817239233586,60,99.24844290657438
0.5,96,0.9380835471758364,5.762305718330837,80,98.64913494809689
0.65-0.80,94,0.9325830083893158,5.728517911051954,101,99.25570934256055
0.50-0.80,94,0.9325350950513335,5.728223596859714,121,98.80622837370242
0.6500000000000001,95,0.9234182395280225,5.672222072397071,60,99.060553633218
0.5,95,0.9228919976997316,5.6689895604257075,80,98.3114186851211
