factor,threshold,alloc_low,alloc_high,ratio,equity,trades,fees,sharpe
fng,30.0,100,90,1.4965561817673012,9.192799799083009,2709,3.5452968849357442,0.8213741575976082
fng,40.0,100,90,1.4918637396007812,9.163975835150927,2702,3.53828646907682,0.8211977516730183
fng,60.0,100,90,1.4285889815814754,8.775302031993068,1843,5.19718880096004,0.8235497264338153
fng,50.0,100,90,1.4256962850571924,8.757533250338755,2633,4.252565050066018,0.8169954873215001
rainbow,0.5,100,90,1.2816604913181682,7.872773806038289,974,1.3784057693571772,0.8347231618300095
rainbow,0.4,100,90,1.274571120982494,7.8292263849715775,1509,2.2583392633841957,0.8293596381669205
rainbow,0.6,100,90,1.2613904828301374,7.748262523250275,658,0.7694455439330091,0.8349626519949763
fng,30.0,100,95,1.2436409090545895,7.639233353329652,2684,1.6389387292674884,0.822374629191568
fng,30.0,98,95,1.2436409090545895,7.639233353329652,2684,1.6389387292674884,0.822374629191568
fng,40.0,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
fng,40.0,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
rainbow,0.7,100,90,1.2374604981243584,7.601269338981333,413,0.57776993278588,0.835747595693624
fng,50.0,98,95,1.2253969994811877,7.5271676585671585,2680,1.8331407637931676,0.8211414370435791
fng,60.0,98,95,1.2251220137157581,7.525478521119471,2662,2.062423297062007,0.8231502149121984
fng,50.0,100,95,1.2133737807127576,7.453313402759513,2610,1.9704006902634306,0.8203260231398631
fng,60.0,100,95,1.211589348677719,7.442352286395804,1825,2.348443039813571,0.8236057256664436
rainbow,0.5,98,95,1.1816693909871436,7.258564878747875,2626,1.0731711052403592,0.8265166908264463
rainbow,0.4,98,95,1.1804979913263765,7.2513693970831445,2634,1.33115182858139,0.8249322274517101
rainbow,0.6,98,95,1.1757361272528912,7.222118999649817,2621,0.8979912362011375,0.826574780379186
fng,70.0,100,90,1.170265941326635,7.188517638941494,1214,2.0859218304015505,0.813260892404711
rainbow,0.7,98,95,1.1685165877833938,7.177771996982472,2614,0.840331066044013,0.8267776135204906
fng,70.0,98,95,1.152138228636298,7.077165699329864,2647,1.2754213341192648,0.8202112458215242
rainbow,0.5,100,95,1.1370326112778502,6.984377391139669,965,0.7037526406650731,0.8291607927955758
rainbow,0.4,100,95,1.1359402789948532,6.977667591591879,1496,1.1292364915999884,0.8265433822686209
rainbow,0.6,100,95,1.1272306134817376,6.92416728712319,652,0.41974884586267874,0.829264964217745
rainbow,0.8,98,95,1.1161266055508239,6.855959408849101,2604,0.7328375713678881,0.824482846991605
rainbow,0.7,100,95,1.115341900623412,6.851139252154058,409,0.32785640241895186,0.8296264363853496
fng,70.0,100,95,1.0917821037658255,6.70641999706863,1195,1.0517655316369745,0.818720834150162
rainbow,0.8,100,90,1.0655563277012225,6.545324602271775,179,0.2796325179251646,0.8283468800931313
rainbow,0.8,100,95,1.031797612810495,6.337957106653736,177,0.19069068589649515,0.8258910252653326
