feature,importance
sp500_ma21_above_ma50,0.6347005478314425
sp500_ma7,0.08557171191823945
sp500_ma50,0.05801838592982152
sp500_dist_ma21,0.05623971802183483
rainbow_position,0.0473704489079806
fng_x_rainbow,0.02801640421759047
sp500_ma21,0.02454145322185085
rainbow_velocity_7,0.018720212476615553
sp500_ma14,0.012962743768664775
rainbow_velocity_14,0.006336504145573314
fng_ma14,0.005503132283839804
rainbow_ma21,0.004439677124947836
rainbow_ma14,0.00387454495770647
sp500_dist_ma50,0.001908418324622672
rainbow_x_sp500_trend,0.0018553062133914804
rainbow_ma7,0.0018410281245657037
sp500_volatility_14,0.0013517980063267492
price_volatility_14,0.0013271553863625147
fng,0.0010063845532464943
fng_ma21,0.0009306296815301666
sp500_momentum_7,0.0009222736315682915
sp500_ma7_above_ma21,0.000656947412405326
sp500_above_ma7,0.0005320071553418953
fng_ma7,0.00039618208723304476
sp500_rsi,0.0003072367841149617
sp500_momentum_21,0.0002608091981859431
sp500_momentum_14,0.00021046459919854516
fng_velocity_7,8.962697552332752e-05
fng_velocity_14,5.1965017352836515e-05
fng_x_sp500_momentum,2.765361703678298e-05
fng_acceleration_7,1.9062188517817213e-05
fng_above_ma,9.566237367624252e-06
sp500_above_ma21,0.0
sp500_above_ma50,0.0
