strategy,config,ratio,equity,trades
Rainbow_Acceleration,"w=14,t=0.02,a=94",1.3340717735691268,8.19471723243027,1181
Rainbow_ROC,"w=7,t=0.2,a=94",1.2943368227007523,7.950639894867168,309
Rainbow_Acceleration,"w=10,t=0.01,a=94",1.2852858472966904,7.895043047993227,746
Rainbow_Acceleration,"w=14,t=0.02,a=95",1.274866904354427,7.831043274544569,1181
Rainbow_Acceleration,"w=7,t=0.01,a=94",1.269407217012673,7.797506402818803,834
Rainbow_Acceleration,"w=10,t=0.02,a=94",1.2664047586149287,7.779063393934938,1184
Rainbow_Acceleration,"w=7,t=0.02,a=94",1.2649676919404618,7.770236016521877,1214
Rainbow_Bollinger,"w=10,std=1.5,a=94",1.259768825872074,7.738301274925678,635
Rainbow_ROC,"w=7,t=0.15,a=94",1.2597163990423916,7.737979235997074,395
Rainbow_Bollinger,"w=14,std=1.5,a=94",1.2583981556850379,7.729881746963075,687
Rainbow_Acceleration,"w=14,t=0.005,a=94",1.2559645892193012,7.7149332341108146,485
Rainbow_Bollinger,"w=20,std=2.0,a=94",1.2556720607841452,7.713136338429456,285
Rainbow_Acceleration,"w=14,t=0.01,a=94",1.2457965006751301,7.652474367905384,849
Rainbow_ROC,"w=5,t=0.15,a=94",1.244764247944122,7.64613361517333,373
Rainbow_Acceleration,"w=14,t=0.015,a=94",1.2445259499237047,7.6446698371869735,1063
Rainbow_Acceleration,"w=10,t=0.015,a=94",1.242757567196254,7.6338073058769815,1008
Rainbow_ROC,"w=7,t=0.2,a=95",1.241391020620697,7.625413107758484,309
Rainbow_Acceleration,"w=7,t=0.005,a=94",1.2404981356286222,7.619928440309477,458
Rainbow_ROC,"w=5,t=0.1,a=94",1.2400260442353666,7.6170285547469145,517
Rainbow_ROC,"w=10,t=0.2,a=94",1.2382752797446528,7.606274245851227,315
Rainbow_Acceleration,"w=10,t=0.01,a=95",1.2364811955103665,7.59525383954145,746
Rainbow_Acceleration,"w=7,t=0.01,a=95",1.2236544642156089,7.5164638988055845,834
Rainbow_Acceleration,"w=7,t=0.015,a=94",1.2223009337678394,7.508149654021526,1076
Rainbow_ROC,"w=10,t=0.15,a=94",1.2219629773199014,7.506073710595845,403
Rainbow_Acceleration,"w=10,t=0.02,a=95",1.2208421655113877,7.499188971690856,1184
Rainbow_Acceleration,"w=7,t=0.02,a=95",1.2196477499222622,7.491852111557233,1214
Rainbow_Acceleration,"w=14,t=0.02,a=96",1.2169304860615515,7.475160948888487,1181
Rainbow_ROC,"w=7,t=0.15,a=95",1.2140411240912503,7.457412650185329,395
Rainbow_ROC,"w=14,t=0.2,a=94",1.2137899064063564,7.455869511403535,339
Rainbow_Bollinger,"w=10,std=1.5,a=95",1.2137819886805226,7.455820875696208,635
Rainbow_Acceleration,"w=14,t=0.005,a=95",1.2130973889269683,7.451615628640603,485
Rainbow_Bollinger,"w=14,std=1.5,a=95",1.2127280013785595,7.449346615407309,687
Rainbow_Acceleration,"w=10,t=0.005,a=94",1.212165706263248,7.44589264121908,414
Rainbow_Bollinger,"w=20,std=2.0,a=95",1.2099717462605126,7.432415943639624,285
Rainbow_Acceleration,"w=5,t=0.005,a=94",1.206098243334107,7.4086224253224175,500
Rainbow_Acceleration,"w=14,t=0.01,a=95",1.2046597006610302,7.399785981387239,849
Rainbow_Acceleration,"w=14,t=0.015,a=95",1.2033846215178727,7.391953634406994,1063
Rainbow_Bollinger,"w=10,std=2.0,a=94",1.2029106008608192,7.389041898079276,159
Rainbow_Acceleration,"w=10,t=0.015,a=95",1.2020264301893429,7.383610759529231,1008
Rainbow_ROC,"w=5,t=0.15,a=95",1.201933271929233,7.383038522251905,373
Rainbow_ROC,"w=7,t=0.1,a=94",1.2009946115088759,7.377272673011634,535
Rainbow_Acceleration,"w=7,t=0.005,a=95",1.2006481243065055,7.375144328267118,458
