rainbow_thresh,sp500_bull,sp500_bear,ratio,trades,fees
0.5,100,90,1.505687496110024,1435,5.005126233746986
0.5,98,90,1.4983924571048668,2671,4.376105347697352
0.7,98,90,1.4668890854418832,2665,3.63510653086761
0.6,98,90,1.4605285122808744,2667,3.5859708456276054
0.7,100,90,1.4524390498624764,1032,3.7485207983120663
0.6,100,90,1.4423989399853334,1192,3.6685443649014777
0.5,100,95,1.265940249565652,1426,2.9197988205430696
0.5,98,95,1.2597770955694259,2653,2.3987208615606384
0.7,98,95,1.2333444636408548,2647,1.7854010322112166
0.6,98,95,1.22799108581249,2650,1.7470918313897765
0.7,100,95,1.2212077770766803,1024,1.8927310076002193
0.6,100,95,1.2127725294900764,1184,1.8301611375032267
